"ID"  "date_added"  "date_ended"  "site"  "value"  "discount"  "sold"  "MerchantID"  "category"
"934"  9538846  2012-06-11  2012-06-16  "Groupon"  100  50  1000  483100  "Outdoor Adventures"
"935"  11551801  2012-09-24  2012-09-29  "Groupon"  108  62  1000  58817  "Restaurants"
"936"  18906342  2013-04-02  2013-04-09  "AmazonLocal"  95  51  595  587525  "Life Skills Classes"
"937"  8525455  2012-04-27  2012-05-04  "Groupon"  2800  90  150  15598  "Waxing"
"938"  39822  2011-02-04  2011-02-07  "Groupon"  300  67  452  14016  "Home Services"
"939"  18822042  2013-03-27  2013-04-05  "Groupon"  104  41  720  35638  "Outdoor Adventures"
"940"  13822750  2012-12-17  2012-12-24  "LivingSocial"  400  68  833  452228  "Automotive"
"941"  9363292  2012-06-06  2012-06-11  "Groupon"  255  61  450  16490  "Spa"
"942"  51263  2011-03-08  2011-03-09  "Groupon"  170  48  500  32797  "Massage"
"943"  3399960  2012-01-19  2012-01-24  "Groupon"  240  54  500  257482  "Automotive"
"944"  177375  2011-07-19  2011-07-25  "Groupon"  2800  57  37  49138  "Spa"
"945"  19287  2010-11-19  2010-11-22  "Groupon"  75  57  1383  15032  "Massage"
"946"  226899  2011-08-04  2011-08-06  "Groupon"  40  50  2210  7488  "Restaurants"
"947"  10025302  2012-07-18  2012-07-23  "Groupon"  74  39  980  510647  "Outdoor Adventures"
"948"  857928  2011-09-20  2011-09-26  "Groupon"  4000  85  98  49138  "Waxing"
"949"  10142526  2012-07-23  2012-07-27  "Groupon"  74  40  1000  11639  "Restaurants"
"950"  12144996  2012-10-25  2012-10-29  "Groupon"  73  40  1000  552035  "Concerts"
"951"  12272275  2012-10-30  2012-11-01  "Groupon"  73  40  1000  593281  "Shows"
"952"  118650  2011-06-16  2011-06-22  "Groupon"  2500  60  44  67005  "Spa"
"953"  2533  2010-04-21  2010-04-22  "Groupon"  50  50  1757  4832  "Restaurants"
"954"  12000785  2012-10-11  2012-10-19  "Groupon"  3600  86  110  415719  "Facials"
"955"  16408  2010-11-05  2010-11-08  "Groupon"  150  50  584  8248  "Massage"
"956"  96268  2011-05-23  2011-05-25  "Groupon"  52  50  1680  54996  "Nail Care"
"957"  40648  2011-02-07  2011-02-07  "LivingSocial"  20  50  10508  26889  "Restaurants"
"958"  23386  2010-12-08  2010-12-13  "Groupon"  495  67  272  8681  "Life Skills Classes"
"959"  18888340  2013-04-01  2013-04-11  "Groupon"  350  46  230  438201  "Life Skills Classes"
"960"  19865057  2013-05-08  2013-05-14  "AmazonLocal"  91  51  601  3347  "Restaurants"
"961"  9008835  2012-05-30  2012-06-13  "Signpost"  60  50  9  215254  "Tanning"
"962"  323940  2011-08-24  2011-09-07  "kgb deals"  25  60  33  34068  "Restaurants"
"963"  30224  2011-01-06  2011-01-07  "Groupon"  105  71  1439  20852  "Gym"
"964"  723645  2011-09-16  2011-09-20  "Groupon"  70  50  1230  58817  "Restaurants"
"965"  35781  2011-01-24  2011-01-26  "Groupon"  50  50  1721  266367  "Restaurants"
"966"  639964  2011-09-07  2011-09-11  "Groupon"  30  50  2868  3540  "Restaurants"
"967"  1822592  2011-11-30  2011-12-05  "Groupon"  330  51  270  33074  "Spa"
"968"  1824  2010-03-26  2010-03-29  "Groupon"  299  49  285  4398  "Life Skills Classes"
"969"  87365  2011-05-10  2011-05-13  "Groupon"  40  55  2370  7615  "Restaurants"
"970"  23312  2010-12-08  2010-12-13  "kgb deals"  50  50  13  6095  "Restaurants"
"971"  1894858  2011-12-02  2011-12-07  "Groupon"  262  73  330  15661  "Outdoor Adventures"
"972"  409120  2011-08-29  2011-09-03  "Groupon"  75  67  1702  10400  "Yoga"
"973"  18609862  2013-03-12  2013-03-19  "AmazonLocal"  95  49  539  8395  "Outdoor Adventures"
"974"  852236  2011-09-30  2011-10-05  "Groupon"  105  71  1411  20852  "Personal Trainer"
"975"  7256608  2012-03-21  2012-03-24  "Eversave"  78  44  422  160019  "Golf"
"976"  1955332  2011-12-13  2011-12-18  "Groupon"  470  64  250  3603  "Spa"
"977"  57362  2011-03-22  2011-03-24  "Groupon"  25  52  3515  36063  "Restaurants"
"978"  18738648  2013-03-21  2013-03-25  "Eversave"  63  47  531  139629  "Golf"
"979"  51258  2011-03-08  2011-03-10  "Groupon"  238  50  350  14217  "Sports Tickets"
"980"  6597  2010-07-26  2010-07-27  "Groupon"  95  52  933  7449  "Massage"
"981"  31516  2011-01-11  2011-01-14  "kgb deals"  20  50  32  21667  "Restaurants"
"982"  10903716  2012-08-23  2012-08-29  "Groupon"  116  50  760  131940  "Outdoor Adventures"
"983"  18069  2010-11-15  2010-11-22  "kgb deals"  70  58  11  7578  "Yoga"
"984"  10863084  2012-08-27  2012-09-01  "LivingSocial"  78  51  2648  7447  "Restaurants"
"985"  8275844  2012-04-23  2012-04-30  "Groupon"  1260  88  300  51820  "Waxing"
"986"  110926  2011-06-09  2011-06-12  "Groupon"  75  57  1300  16270  "Massage"
"987"  3187093  2012-01-10  2012-01-14  "Groupon"  399  50  220  252038  "Automotive"
"988"  1350  2010-03-11  2010-03-12  "Groupon"  105  52  831  26787  "Yoga"
"989"  126321  2011-06-23  2011-06-27  "Groupon"  750  83  320  15598  "Waxing"
"990"  24147  2010-12-11  2010-12-17  "Travelzoo Local Deals"  178  44  945  17615  "Life Skills Classes"
"991"  7079  2010-08-03  2010-08-04  "Groupon"  26  61  4086  7730  "Museums"
"992"  140387  2011-07-06  2011-07-13  "kgb deals"  25  60  31  6529  "Restaurants"
"993"  1717  2010-03-23  2010-03-24  "Groupon"  60  51  1400  6346  "Groceries"
"994"  62111  2011-03-30  2011-04-02  "Eversave"  30  50  1160  38221  "Restaurants"
"995"  14923841  2013-01-10  2013-01-17  "Groupon"  132  63  900  30691  "Restaurants"
"996"  67016  2011-04-08  2011-04-11  "Groupon"  35  57  2696  40824  "Restaurants"
"997"  1433  2010-03-15  2010-03-16  "Groupon"  182  51  454  14154  "Massage"
"998"  193297  2011-07-25  2011-08-01  "kgb deals"  10  60  77  95912  "Restaurants"
"999"  1861585  2011-12-04  2011-12-09  "Groupon"  100  52  840  217373  "Restaurants"
"1000"  8454145  2012-04-26  2012-05-01  "Groupon"  300  55  310  3874  "Massage"
"1001"  65245  2011-04-05  2011-04-07  "Groupon"  190  50  423  4997  "Outdoor Adventures"
"1002"  102092  2011-06-01  2011-06-03  "Groupon"  129  62  820  57844  "Automotive"
"1003"  20051816  2013-05-05  2013-05-22  "Groupon"  150  53  820  69685  "Yoga"
"1004"  10465728  2012-08-02  2012-08-07  "Groupon"  150  65  680  19989  "Fitness Classes"
"1005"  14857062  2013-01-15  2013-01-25  "Signpost"  250  50  2  28266  "Hair Salons"
"1006"  36686  2011-01-26  2011-01-27  "Groupon"  240  91  2000  24503  "Yoga"
"1007"  205345  2011-07-29  2011-08-01  "Groupon"  94  47  800  100001  "Outdoor Adventures"
"1008"  723646  2011-09-16  2011-09-20  "Groupon"  40  50  2000  154285  "Groceries"
"1009"  1354294  2011-11-03  2011-11-07  "Groupon"  80  50  1000  13828  "Yoga"
"1010"  1407064  2011-11-06  2011-11-12  "Groupon"  209  80  1000  73269  "Photography"
"1011"  1855213  2011-12-03  2011-12-08  "Groupon"  209  80  1000  73269  "Photography"
"1012"  4084009  2012-02-23  2012-02-28  "Groupon"  100  60  1000  12750  "Home Services"
"1013"  8469834  2012-05-02  2012-05-06  "Groupon"  80  50  1000  13828  "Yoga"
"1014"  11148070  2012-09-10  2012-09-15  "Groupon"  100  60  1000  12750  "Women's Clothing"
"1015"  13445054  2012-12-07  2012-12-15  "Groupon"  200  50  400  155719  "Women's Clothing"
"1016"  2497  2010-04-20  2010-04-19  "Groupon"  50  50  1592  4811  "Tours"
"1017"  13913624  2012-12-19  2012-12-26  "LivingSocial"  249  42  660  449120  "Outdoor Adventures"
"1018"  1537409  2011-11-13  2011-11-14  "LivingSocial"  20  50  9563  26889  "Restaurants"
"1019"  1845174  2011-12-02  2011-12-07  "Groupon"  185  73  810  15661  "Outdoor Adventures"
"1020"  62663  2011-03-31  2011-04-02  "Groupon"  299  67  400  31968  "Outdoor Adventures"
"1021"  60329  2011-03-26  2011-03-30  "Groupon"  690  71  203  37375  "Skin Care"
"1022"  64433  2011-04-04  2011-04-06  "Groupon"  190  68  657  10093  "Fitness Classes"
"1023"  3092744  2012-01-06  2012-01-10  "Groupon"  480  50  180  250051  "Skin Care"
"1024"  30761  2011-01-09  2011-01-10  "Groupon"  495  69  262  21233  "Life Skills Classes"
"1025"  9618953  2012-06-28  2012-07-12  "Signpost"  99  50  5  57364  "Boot Camp"
"1026"  857941  2011-09-23  2011-09-27  "Groupon"  152  50  577  11639  "Restaurants"
"1027"  7399750  2012-03-27  2012-04-04  "Travelzoo Local Deals"  200  51  897  16490  "Spa"
"1028"  10168964  2012-07-24  2012-07-29  "Groupon"  93  51  870  175564  "Restaurants"
"1029"  4744  2010-06-17  2010-06-18  "LivingSocial"  60  50  3140  6296  "Bars/Lounges"
"1030"  8781215  2012-05-10  2012-05-15  "Groupon"  170  58  600  457647  "Outdoor Adventures"
"1031"  10882303  2012-08-28  2012-09-02  "Groupon"  178  78  1000  9359  "Gym"
"1032"  4058  2010-06-02  2010-06-03  "Groupon"  30  50  2599  8423  "Restaurants"
"1033"  3942739  2012-02-10  2012-02-15  "Groupon"  665  55  130  270503  "Outdoor Adventures"
"1034"  66389  2011-04-07  2011-04-09  "Groupon"  127  50  615  40485  "Facials"
"1035"  4063176  2012-02-22  2012-02-27  "Groupon"  1160  87  260  187894  "Waxing"
"1036"  30745  2011-01-09  2011-01-13  "Travelzoo Local Deals"  130  70  2251  11641  "Restaurants"
"1037"  68976  2011-04-12  2011-04-15  "Groupon"  900  89  391  41854  "Waxing"
"1038"  86522  2011-05-09  2011-05-12  "Groupon"  750  83  300  50177  "Waxing"
"1039"  71568  2011-04-15  2011-04-22  "kgb deals"  59.95  50  10  6346  "Home Services"
"1040"  92092  2011-05-17  2011-05-19  "Groupon"  45  42  1486  5271  "Outdoor Adventures"
"1041"  3012607  2012-01-06  2012-01-11  "Groupon"  225  56  390  250045  "Outdoor Adventures"
"1042"  97241  2011-05-24  2011-05-27  "Groupon"  45  44  1541  55479  "Outdoor Adventures"
"1043"  68215  2011-04-11  2011-04-13  "Groupon"  100  50  770  41453  "Golf"
"1044"  18933250  2013-04-04  2013-04-11  "LivingSocial"  90  51  2100  5209  "Outdoor Adventures"
"1045"  22019  2010-12-02  2010-12-03  "Groupon"  40  50  1918  5603  "Restaurants"
"1046"  9671488  2012-07-02  2012-07-04  "LivingSocial"  110  35  1301  423629  "Shows"
"1047"  8645611  2012-05-09  2012-05-17  "LivingSocial"  4990  50  37  49706  "Vision and Eye Care"
"1048"  161606  2011-07-13  2011-07-16  "Groupon"  50  50  1533  56326  "Life Skills Classes"
"1049"  857797  2011-08-20  2011-08-25  "Groupon"  225  57  387  123761  "Massage"
"1050"  10927550  2012-08-30  2012-09-04  "Groupon"  350  54  240  49576  "Spa"
"1051"  20139166  2013-05-22  2013-05-29  "Groupon"  262  69  320  15661  "Fitness Classes"
"1052"  3773843  2012-02-09  2012-02-13  "Groupon"  76  50  1000  5813  "Restaurants"
"1053"  13164582  2012-11-29  2012-12-05  "Groupon"  100  60  950  195635  "Women's Clothing"
"1054"  88983  2011-05-12  2011-05-17  "Eversave"  377  53  93  51446  "Golf"
"1055"  832499  2011-09-28  2011-09-29  "LivingSocial"  15  60  15233  11124  "Restaurants"
"1056"  3472  2010-05-19  2010-05-20  "Groupon"  95  68  1263  5386  "Home Services"
"1057"  119928  2011-06-17  2011-06-20  "Groupon"  42  50  1800  67713  "Outdoor Adventures"
"1058"  70833  2011-04-14  2011-04-15  "LivingSocial"  145  52  1299  7388  "Outdoor Adventures"
"1059"  18642334  2013-03-14  2013-03-21  "LivingSocial"  249  42  627  639739  "Outdoor Adventures"
"1060"  78123  2011-04-25  2011-04-27  "Groupon"  40  50  1887  40019  "Makeup"
"1061"  3744859  2012-02-08  2012-02-15  "Groupon"  445  67  260  21233  "Life Skills Classes"
"1062"  16653052  2013-01-31  2013-02-06  "CBS Local"  50  50  616  16898  "Restaurants"
"1063"  796390  2011-09-24  2011-09-29  "Groupon"  209  81  939  73269  "Photography"
"1064"  55440  2011-03-17  2011-03-20  "Eversave"  40  50  804  35163  "Restaurants"
"1065"  85181  2011-05-06  2011-05-09  "Groupon"  88  52  892  25245  "Golf"
"1066"  166365  2011-07-15  2011-07-20  "Groupon"  350  66  314  41854  "Skin Care"
"1067"  47498  2011-02-25  2011-03-02  "kgb deals"  30  50  19  30820  "Women's Clothing"
"1068"  10491585  2012-08-08  2012-08-12  "Groupon"  399  62  250  170240  "Dental"
"1069"  18255082  2013-02-18  2013-02-24  "Groupon"  156  63  760  70364  "Kids"
"1070"  8563  2010-08-26  2010-08-27  "Groupon"  45  55  1861  4309  "Tours"
"1071"  81040  2011-04-29  2011-05-02  "Groupon"  200  75  740  15174  "Vision and Eye Care"
"1072"  7393139  2012-03-27  2012-04-01  "Groupon"  75  50  1000  42767  "Life Skills Classes"
"1073"  8996611  2012-05-29  2012-06-03  "Groupon"  63  41  1000  7758  "Outdoor Adventures"
"1074"  83076  2011-05-03  2011-05-06  "Groupon"  140  61  672  16445  "Massage"
"1075"  7448254  2012-03-23  2012-03-29  "Groupon"  3600  88  100  415719  "Waxing"
"1076"  1924518  2011-12-09  2011-12-12  "LivingSocial"  4800  50  37  49706  "Vision and Eye Care"
"1077"  5601  2010-07-07  2010-07-08  "Groupon"  130  50  565  6852  "Facials"
"1078"  3033  2010-05-07  2010-05-10  "Groupon"  292  53  272  25245  "Golf"
"1079"  101138  2011-05-30  2011-06-06  "kgb deals"  35  71  28  40507  "Hair Salons"
"1080"  78112  2011-04-25  2011-04-28  "Groupon"  60  50  1222  14738  "Shows"
"1081"  3744845  2012-02-08  2012-02-14  "Groupon"  175  55  470  10093  "Fitness Classes"
"1082"  2098477  2011-12-19  2011-12-23  "Groupon"  200  50  370  229335  "Life Skills Classes"
"1083"  7282835  2012-03-22  2012-03-26  "Groupon"  198  50  370  75558  "Outdoor Adventures"
"1084"  83000  2011-05-03  2011-05-06  "Eversave"  70  58  541  48310  "Massage"
"1085"  857933  2011-09-19  2011-09-26  "Groupon"  500  70  263  5792  "Skin Care"
"1086"  1502351  2011-11-11  2011-11-16  "Groupon"  100  50  730  160267  "Restaurants"
"1087"  11879047  2012-10-08  2012-10-14  "Groupon"  414  72  410  16270  "Spa"
"1088"  58902  2011-03-24  2011-03-26  "Groupon"  70  50  1040  8520  "Outdoor Adventures"
"1089"  857702  2011-07-28  2011-08-01  "Groupon"  550  78  291  22592  "Waxing"
"1090"  244471  2011-08-09  2011-08-12  "Groupon"  76  50  957  30832  "Restaurants"
"1091"  12436915  2012-11-06  2012-11-13  "LivingSocial"  15  53  12501  11124  "Restaurants"
"1092"  15243175  2013-01-25  2013-02-01  "Groupon"  900  69  130  638445  "Restaurants"
"1093"  67826  2011-04-10  2011-04-12  "Groupon"  150  50  483  19689  "Life Skills Classes"
"1094"  40514  2011-02-07  2011-02-09  "Groupon"  105  52  724  26787  "Yoga"
"1095"  857926  2011-09-20  2011-09-26  "Groupon"  1750  85  121  49138  "Waxing"
"1096"  13996731  2012-12-21  2012-12-29  "Groupon"  258  47  260  643150  "Golf"
"1097"  13437  2010-10-19  2010-10-20  "Groupon"  60  50  1203  11576  "Women's Clothing"
"1098"  102081  2011-06-01  2011-06-03  "Groupon"  30  50  2400  5813  "Restaurants"
"1099"  134131  2011-06-30  2011-07-04  "Groupon"  245  51  300  58563  "Golf"
"1100"  240495  2011-08-08  2011-08-12  "Groupon"  18  50  4000  109704  "Kids"
"1101"  33358  2011-01-17  2011-01-19  "Groupon"  40  55  1997  7615  "Restaurants"
"1102"  18887114  2013-03-21  2013-04-01  "Groupon"  121.7  41  490  7264  "Outdoor Adventures"
"1103"  52271  2011-03-10  2011-03-12  "Groupon"  60  50  1192  33384  "Restaurants"
"1104"  102975  2011-06-02  2011-06-04  "Eversave"  40  50  766  58266  "Restaurants"
"1105"  11090282  2012-09-07  2012-09-12  "Groupon"  220  61  420  408764  "Automotive"
"1106"  8059764  2012-04-13  2012-04-20  "LivingSocial"  377  74  868  239135  "Fitness Classes"
"1107"  257177  2011-08-12  2011-08-15  "Groupon"  348  80  517  114629  "Gym"
"1108"  3867704  2012-02-13  2012-02-17  "Groupon"  210  52  360  30135  "Massage"
"1109"  972273  2011-10-11  2011-10-18  "Groupon"  279  46  239  432729  "Travel"
"1110"  661329  2011-09-09  2011-09-12  "DealFind"  2200  95  182  11377  "Skin Care"
"1111"  2995096  2012-01-01  2012-01-05  "Groupon"  195  71  710  20852  "Martial Arts"
"1112"  12407447  2012-11-05  2012-11-11  "Groupon"  100  50  710  13994  "Skiing"
"1113"  1822227  2011-11-30  2011-12-02  "Eversave"  30  50  1012  214307  "Restaurants"
"1114"  1248238  2011-10-18  2011-10-25  "Groupon"  1200  80  209  179223  "Spa"
"1115"  89689  2011-05-13  2011-05-19  "Groupon"  630  82  307  51820  "Waxing"
"1116"  80255  2011-04-28  2011-05-01  "Eversave"  40  50  756  3334  "Restaurants"
"1117"  3472363  2012-01-27  2012-01-30  "Eversave"  30  50  1005  262363  "Restaurants"
"1118"  18887112  2013-03-21  2013-04-01  "Groupon"  108.6  41  540  7264  "Outdoor Adventures"
"1119"  3555334  2012-01-31  2012-02-02  "Eversave"  30  50  1001  264221  "Restaurants"
"1120"  24079  2010-12-10  2010-12-13  "Groupon"  125  64  778  3359  "Golf"
"1121"  8671985  2012-05-10  2012-05-15  "Groupon"  70  50  1000  457650  "Restaurants"
"1122"  10390821  2012-08-03  2012-08-08  "Groupon"  72  51  1000  27581  "Restaurants"
"1123"  11976687  2012-10-12  2012-10-18  "Groupon"  80  50  1000  488864  "Restaurants"
"1124"  11861790  2012-10-13  2012-10-20  "Groupon"  75  54  1000  4309  "Tours"
"1125"  12296735  2012-10-31  2012-11-06  "Groupon"  50  30  1000  594012  "Restaurants"
"1126"  13338629  2012-12-04  2012-12-10  "Groupon"  15  54  5000  11124  "Restaurants"
"1127"  8428305  2012-04-23  2012-04-30  "Groupon"  2400  88  130  51820  "Waxing"
"1128"  84484  2011-05-05  2011-05-08  "Eversave"  40  50  749  49104  "Restaurants"
"1129"  1129562  2011-06-23  2011-06-27  "Groupon"  750  83  270  15598  "Waxing"
"1130"  12184238  2012-10-26  2012-11-01  "Groupon"  580  78  270  56774  "Teeth Whitening"
"1131"  9969396  2012-07-16  2012-07-23  "Groupon"  1500  90  250  9887  "Waxing"
"1132"  11175040  2012-09-11  2012-09-20  "Groupon"  1260  88  250  246615  "Waxing"
"1133"  9726728  2012-06-25  2012-06-30  "Groupon"  600  50  120  98933  "Skin Care"
"1134"  12248943  2012-10-29  2012-11-05  "AmazonLocal"  6500  59  8  117358  "Dental"
"1135"  2062568  2011-12-10  2011-12-17  "Groupon"  300  54  350  7448  "Automotive"
"1136"  252597  2011-08-11  2011-08-14  "Groupon"  130  65  767  77739  "Yoga"
"1137"  46315  2011-02-22  2011-02-23  "Groupon"  50  50  1378  30138  "Restaurants"
"1138"  56272  2011-03-21  2011-03-24  "Eversave"  29  48  984  35638  "Outdoor Adventures"
"1139"  13576  2010-10-20  2010-10-21  "Groupon"  40  50  1721  11639  "Restaurants"
"1140"  3744697  2012-02-08  2012-02-13  "Eversave"  750  86  149  6372  "Waxing"
"1141"  6948  2010-08-01  2010-08-02  "Groupon"  16  50  4297  7655  "Tours"
"1142"  8370618  2012-04-27  2012-05-02  "LivingSocial"  38  50  4352  84273  "Outdoor Adventures"
"1143"  11175027  2012-09-11  2012-09-17  "Groupon"  69  43  880  160019  "Golf"
"1144"  18754640  2013-03-22  2013-03-29  "Groupon"  50  30  980  594012  "Restaurants"
"1145"  2151088  2011-12-21  2011-12-27  "Groupon"  401  62  230  231285  "Outdoor Adventures"
"1146"  857799  2011-08-24  2011-08-29  "Groupon"  160  57  580  9485  "Massage"
"1147"  3338960  2012-01-17  2012-01-21  "Groupon"  133  62  760  22364  "Restaurants"
"1148"  1039931  2011-10-15  2011-10-29  "kgb deals"  60  52  9  6095  "Restaurants"
"1149"  23067  2010-12-07  2010-12-08  "Groupon"  46  39  1221  5315  "Life Skills Classes"
"1150"  33740  2011-01-18  2011-01-20  "Groupon"  375  53  195  22803  "Tours"
"1151"  1883100  2011-11-30  2011-12-06  "Groupon"  225  41  310  21768  "Skiing"
"1152"  13913622  2012-12-19  2012-12-26  "LivingSocial"  60  50  2734  254553  "Restaurants"
"1153"  79516  2011-04-27  2011-04-30  "Groupon"  95  52  756  253419  "Museums"
"1154"  857830  2011-08-31  2011-09-03  "Groupon"  70  55  1026  9281  "Outdoor Adventures"
"1155"  2306  2010-04-13  2010-04-14  "Groupon"  58  56  1354  18408  "Life Skills Classes"
"1156"  1924384  2011-12-08  2011-12-09  "Groupon"  150  50  520  129774  "Spa"
"1157"  3371740  2012-01-23  2012-01-27  "Groupon"  350  51  200  33074  "Massage"
"1158"  391201  2011-08-27  2011-08-31  "Groupon"  121  50  563  84125  "Restaurants"
"1159"  7911447  2012-04-07  2012-04-12  "Groupon"  159  52  450  29189  "Automotive"
"1160"  16466  2010-11-07  2010-11-08  "Groupon"  40  50  1687  13378  "Restaurants"
"1161"  3773849  2012-02-09  2012-02-13  "Groupon"  220  55  340  7227  "Massage"
"1162"  11341153  2012-09-13  2012-09-19  "Groupon"  120  50  610  104477  "Restaurants"
"1163"  71140  2011-04-15  2011-04-18  "Groupon"  99  39  559  4495  "Outdoor Adventures"
"1164"  20006309  2013-05-19  2013-06-02  "LivingSocial"  78  37  1645  598899  "Shows"
"1165"  9572558  2012-06-26  2012-06-30  "Groupon"  400  40  140  495291  "Outdoor Adventures"
"1166"  15054624  2013-01-21  2013-01-27  "Groupon"  400  41  140  495291  "Outdoor Adventures"
"1167"  17629  2010-11-12  2010-11-19  "kgb deals"  10  50  51  14856  "Restaurants"
"1168"  3748455  2012-02-08  2012-02-11  "LivingSocial"  65  51  2511  6675  "Yoga"
"1169"  1227438  2011-10-27  2011-10-31  "Groupon"  50  50  1334  14531  "Restaurants"
"1170"  916198  2011-10-05  2011-10-10  "Groupon"  80  51  855  17400  "Massage"
"1171"  11362840  2012-09-11  2012-09-20  "Groupon"  3600  88  90  246615  "Waxing"
"1172"  8933382  2012-05-24  2012-06-07  "Signpost"  900  77  1  451992  "Teeth Whitening"
"1173"  17019745  2013-02-01  2013-02-11  "Signpost"  115  40  3  30900  "Hair Salons"
"1174"  9353025  2012-06-02  2012-06-07  "Groupon"  1470  92  420  458005  "Fitness Classes"
"1175"  12856064  2012-11-21  2012-11-27  "Groupon"  149  47  420  526360  "Outdoor Adventures"
"1176"  42044  2011-02-11  2011-02-12  "Groupon"  260  54  278  27561  "Outdoor Adventures"
"1177"  15227  2010-10-31  2010-11-01  "Groupon"  30  50  2204  12691  "Restaurants"
"1178"  39969  2011-02-04  2011-02-08  "kgb deals"  85  51  6  13454  "Nail Care"
"1179"  7817804  2012-04-03  2012-04-09  "Groupon"  99  39  550  4495  "Life Skills Classes"
"1180"  20049438  2013-04-30  2013-05-22  "Groupon"  124.32  41  440  17438  "Outdoor Adventures"
"1181"  39829  2011-02-04  2011-02-06  "Groupon"  450  71  255  26401  "Facials"
"1182"  12570601  2012-11-12  2012-11-27  "Groupon"  89  31  530  250242  "Outdoor Adventures"
"1183"  305461  2011-08-22  2011-08-25  "Eversave"  80  56  400  214571  "Nail Care"
"1184"  857841  2011-09-03  2011-09-08  "Groupon"  150  55  502  25009  "Home Services"
"1185"  237281  2011-08-07  2011-08-10  "Groupon"  28  46  2172  108867  "Outdoor Adventures"
"1186"  7540  2010-08-11  2010-08-13  "Groupon"  299  49  217  8008  "Life Skills Classes"
"1187"  16962  2010-11-09  2010-11-10  "Groupon"  30  50  2169  13667  "Restaurants"
"1188"  11152803  2012-09-10  2012-09-16  "LivingSocial"  79  25  1327  250242  "Outdoor Adventures"
"1189"  123714  2011-06-21  2011-06-23  "Groupon"  50  50  1300  69682  "Restaurants"
"1190"  1868406  2011-12-05  2011-12-09  "Groupon"  200  75  650  15174  "Vision and Eye Care"
"1191"  11635457  2012-09-25  2012-10-03  "Groupon"  12.5  48  5000  25443  "Shows"
"1192"  20261640  2013-05-13  2013-06-05  "Groupon"  300  55  250  445957  "Massage"
"1193"  993147  2011-10-12  2011-10-18  "Groupon"  205  52  328  7309  "Massage"
"1194"  1505208  2011-11-11  2011-11-14  "LivingSocial"  80  50  1954  72461  "Skiing"
"1195"  19286  2010-11-19  2010-11-22  "Groupon"  125  60  649  15031  "Facials"
"1196"  1990304  2011-12-14  2011-12-17  "LivingSocial"  450  50  347  160107  "Restaurants"
"1197"  10186018  2012-07-25  2012-08-01  "Groupon"  105  53  660  515583  "Restaurants"
"1198"  11895939  2012-10-15  2012-10-21  "Groupon"  130  63  660  11935  "Massage"
"1199"  9904251  2012-07-13  2012-07-21  "Groupon"  600  78  250  50177  "Skin Care"
"1200"  8421126  2012-04-30  2012-05-02  "Eversave"  80  47  329  25245  "Golf"
"1201"  56327  2011-03-21  2011-03-22  "Groupon"  55  49  1150  423629  "Sports Tickets"
"1202"  6806043  2012-03-11  2012-03-16  "Groupon"  75  53  920  90443  "Life Skills Classes"
"1203"  3075665  2012-01-09  2012-01-19  "Signpost"  100  50  4  14499  "Yoga"
"1204"  7481  2010-08-10  2010-08-11  "Groupon"  30  50  2137  7974  "Restaurants"
"1205"  7468855  2012-03-30  2012-03-31  "DealFind"  893  88  164  246615  "Waxing"
"1206"  118644  2011-06-16  2011-06-18  "Groupon"  40  50  1600  8075  "Restaurants"
"1207"  128743  2011-06-25  2011-06-29  "Groupon"  80  50  800  5992  "Outdoor Adventures"
"1208"  3581458  2012-02-01  2012-02-05  "Groupon"  160  50  400  25245  "Golf"
"1209"  4903749  2012-03-01  2012-03-06  "Groupon"  65  50  1000  6675  "Yoga"
"1210"  11485593  2012-09-26  2012-10-01  "Groupon"  72  55  1000  109704  "Shows"
"1211"  158448  2011-07-12  2011-07-15  "Groupon"  28  46  2133  55476  "Outdoor Adventures"
"1212"  18632956  2013-03-14  2013-04-10  "Signpost"  400  51  1  575276  "Hair Salons"
"1213"  93892  2011-05-19  2011-05-21  "Eversave"  30  50  911  53932  "Restaurants"
"1214"  857694  2011-07-27  2011-07-29  "Groupon"  200  50  335  15421  "Massage"
"1215"  8781210  2012-05-10  2012-05-15  "Groupon"  140  50  530  457650  "Restaurants"
"1216"  418988  2011-08-30  2011-09-01  "LivingSocial"  100  60  1914  15421  "Massage"
"1217"  9437887  2012-06-19  2012-07-03  "Signpost"  700  86  2  246615  "Waxing"
"1218"  11982539  2012-10-18  2012-10-30  "Signpost"  299  67  2  469524  "Teeth Whitening"
"1219"  91242  2011-05-16  2011-05-19  "Groupon"  80  56  903  52615  "Massage"
"1220"  79473  2011-04-27  2011-04-30  "Eversave"  20  50  1354  3375  "Bowling"
"1221"  455333  2011-09-01  2011-09-05  "Groupon"  75  53  900  138464  "Life Skills Classes"
"1222"  7448244  2012-03-24  2012-03-29  "Groupon"  195  71  630  20852  "Martial Arts"
"1223"  1128730  2011-06-16  2011-06-22  "Groupon"  3000  60  21  67005  "Spa"
"1224"  22733  2010-12-06  2010-12-11  "kgb deals"  20  50  24  22984  "Restaurants"
"1225"  7061552  2012-03-08  2012-03-12  "Groupon"  900  50  90  223090  "Life Skills Classes"
"1226"  649971  2011-09-08  2011-09-09  "Groupon"  20  50  3139  13222  "Groceries"
"1227"  122049  2011-06-20  2011-06-22  "Eversave"  179  61  195  7448  "Automotive"
